tweets,Date
642710,June 27 2022
3743358,June 28 2020
2087599,June 28 2021
676297,June 28 2022
3880998,June 29 2020
1979692,June 29 2021
911901,June 29 2022
3926862,June 30 2020
1877918,June 30 2021
698986,June 30 2022
2513558,March 01 2021
1252254,March 01 2022
2984593,March 02 2021
1509612,March 02 2022
3028796,March 03 2021
1148066,March 03 2022
2824415,March 04 2021
1086331,March 04 2022
2768332,March 05 2021
769398,March 05 2022
2406706,March 06 2021
841981,March 06 2022
2249733,March 07 2021
1150447,March 07 2022
2206490,March 08 2021
1213991,March 08 2022
2310802,March 09 2021
1124163,March 09 2022
2829317,March 10 2021
1033861,March 10 2022
3122284,March 11 2021
1081704,March 11 2022
2782982,March 12 2021
862108,March 12 2022
2092834,March 13 2021
955834,March 13 2022
2249082,March 14 2021
1153878,March 14 2022
2528090,March 15 2021
1454042,March 15 2022
2587367,March 16 2021
876675,March 16 2022
2558837,March 17 2021
993804,March 17 2022
2505267,March 18 2021
1003148,March 18 2022
2341284,March 19 2021
873441,March 19 2022
2357985,March 20 2021
895294,March 20 2022
1233340,March 21 2020
2358661,March 21 2021
937907,March 21 2022
1782157,March 22 2020
2635541,March 22 2021
1116342,March 22 2022
1771295,March 23 2020
2612589,March 23 2021
1069015,March 23 2022
1479651,March 24 2020
2488061,March 24 2021
1061025,March 24 2022
1272592,March 25 2020
2430832,March 25 2021
876965,March 25 2022
1091429,March 26 2020
2265944,March 26 2021
814413,March 26 2022
1172013,March 27 2020
1926796,March 27 2021
808591,March 27 2022
1141210,March 28 2020
1999110,March 28 2021
947812,March 28 2022
1677362,March 29 2020
2914413,March 29 2021
1231288,March 29 2022
793417,March 30 2020
3011381,March 30 2021
1221280,March 30 2022
1029294,March 31 2020
2729871,March 31 2021
934865,March 31 2022
2223013,May 01 2020
2641628,May 01 2021
854740,May 01 2022
2216553,May 02 2020
2677861,May 02 2021
947982,May 02 2022
2266373,May 03 2020
3186034,May 03 2021
1195798,May 03 2022
2227489,May 04 2020
3308235,May 04 2021
1230338,May 04 2022
2218774,May 05 2020
3256865,May 05 2021
1096269,May 05 2022
2164251,May 06 2020
3149400,May 06 2021
1025144,May 06 2022
2203686,May 07 2020
2910460,May 07 2021
859563,May 07 2022
2250019,May 08 2020
2615164,May 08 2021
782216,May 08 2022
2273705,May 09 2020
2317867,May 09 2021
936849,May 09 2022
2208264,May 10 2020
3272827,May 10 2021
951621,May 10 2022
2216845,May 11 2020
3030226,May 11 2021
936053,May 11 2022
2264472,May 12 2020
2963495,May 12 2021
1033609,May 12 2022
2339709,May 13 2020
3454177,May 13 2021
1026560,May 13 2022
2096878,May 14 2020
3062776,May 14 2021
828377,May 14 2022
2214205,May 15 2020
2672511,May 15 2021
718283,May 15 2022
3389090,May 16 2020
2456088,May 16 2021
864460,May 16 2022
3530933,May 17 2020
2940827,May 17 2021
930322,May 17 2022
3899631,May 18 2020
2990851,May 18 2021
911505,May 18 2022
3767009,May 19 2020
2682664,May 19 2021
971846,May 19 2022
3790455,May 20 2020
2676393,May 20 2021
915993,May 20 2022
3582020,May 21 2020
2264112,May 21 2021
782493,May 21 2022
3461470,May 22 2020
2273897,May 22 2021
777506,May 22 2022
3477564,May 23 2020
2511727,May 23 2021
1031958,May 23 2022
3656446,May 24 2020
2746423,May 24 2021
936244,May 24 2022
3474952,May 25 2020
2600636,May 25 2021
939979,May 25 2022
3422960,May 26 2020
2914018,May 26 2021
829480,May 26 2022
3480999,May 27 2020
2767546,May 27 2021
681360,May 27 2022
3446008,May 28 2020
2591490,May 28 2021
447615,May 28 2022
3492841,May 29 2020
2430091,May 29 2021
572457,May 29 2022
3098817,May 30 2020
2216272,May 30 2021
617007,May 30 2022
3234848,May 31 2020
2148894,May 31 2021
671571,May 31 2022
3371046,November 01 2020
1599740,November 01 2021
3299450,November 02 2020
1571260,November 02 2021
2601575,November 03 2020
1677029,November 03 2021
2415739,November 04 2020
1878170,November 04 2021
2781918,November 05 2020
1913096,November 05 2021
2514116,November 06 2020
1557600,November 06 2021
2998457,November 07 2020
1553389,November 07 2021
2339099,November 08 2020
1795492,November 08 2021
3524228,November 09 2020
1914876,November 09 2021
3296368,November 10 2020
1610172,November 10 2021
3156729,November 11 2020
1399270,November 11 2021
3664120,November 12 2020
